location,hostel
Banja Luka,Hotel “Bosna”
Derventa,
Laktaši,Bazeni “Laktaši”
Kozarska Dubica,
Gradiška,
Prnjavor,
Prijedor,
Novi Grad,
Brod,
Srbac,
Mrkonjić Grad,
Šipovo,
Kostajnica,
Bileća,
Kalinovik,
Nevesinje,
Ljubinje,
Bratunac,
Srebrenica,
Višegrad,
Milići,
Vlasenica,
Šekovići,
Sokolac,
Modriča,
Novo Goražde,
Rogatica,
Trebinje,
Han Pijesak,
Rudo,
Zvornik,
Teslić,
Foča,
Ribnik,
Bijeljina,
Doboj,
Jezero,
Kneževo,
Grad Istočno Sarajevo,
Kotor Varoš,
Lopare,
Osmaci,
Pelagićevo,
Petrovo,
Ugljevik,
Čajniče,
Šamac,
Čelinac,
Drinić,
Pale,
Gacko,
